first name, last name, email,phone number, city, major, studyYear,message
salem,siff eddine,s.salem@niv.com,+213791517930,algeria,adsq,dsf,dfd
sas,sdqdq,s.salesdqsdqsdsqm@univ.com,+213791517930,SDF,FDSD,fdsfd,dfsdf
mounir,ouadi,mounir.ouadi@gmail.com,+213791517940,SDSDS,fds s fsd,dfsd fd,fdsf d
sif eddine,33025340Ss,saiftony5@gmail.com,+213791517930,dfsf,dsf,dfsdf,dfsf
sdsd,sqd,saiftony5@gmail.com,+213791517933,sfdsfds,dfsf,fdsf,dfdsfsdXC sds
dsfsd,dfsd,moncefovi@yahoo.fr,+213791514837,sdsfsdf,dfsf,fdsfsd,dfdsf
salem,sif eddine,saiftony5@gmail.com,+213791517930,sdsqddsq,sdfdsf,dsfd,fdfsd
salem,dsqdsq,saiftony5@gmail.com,+213781631839,sdsfsd,fsfsqf,sfqs,sfqs
sald,spidqn,saiftony5@gmail.com,+213791517930,sdqfdsf,sdgsdgdf,dsfdfd,fdsfsdfsd
sdsqd,sdqd,saiftony5@gmail.com,+213791517930,dfsfdsf,dsfsdfd,dfd,d ds fds dsf d
sadszd,sdqd,saiftony5@gmail.com,+213791517930,zdqsdd,sdqsd,sdqsd,sdsqdq
sasq,sdqd,saiftony5@gmail.com,+213791517930,dsdsq,sqdqs,sdsqd,sdsdsq
salem,sdds,saiftony5@gmail.com,+213791517930,fdsfsdfd,dsfsdd,fdsf,dfsdfs
salem,sif eddine,saiftony5@gmail.com,+213791517930,33SQFDF,DSFSD,DFSD,FD
salemwxwcx,dfsdf,saiftony5@gmail.com,+213791517930,sdsqd,dqsd,sdsq,sdqsd
dfff,dfdf,s.salem@univ-boumerdes.dz,+213791517930,SDSDS,fsdf,dsd,dsqdqs
dfff,dfdf,s.salem@univ-boumerdes.dz,+213791517383,SDSDS,fsdf,dsd,dsqdqs
dfff,dfdf,s.salem@univ-boumerdes.dz,+213791517383,SDSDS,fsdf,dsd,dsqdqs
dfff,dfdf,s.salem@univ-boumerdes.dz,+213791517930,SDSDS,fsdf,dsd,dsqdqs
dfff,dfdf,s.salem@univ-boumerdes.dz,+213791517382,SDSDS,fsdf,dsd,dsqdqs
dfff,dfdf,s.salem@univ-boumerdes.dz,+213791517382,SDSDS,fsdf,dsd,dsqdqs
dfff,dfdf,s.salem@univ-boumerdes.dz,+213791517383,SDSDS,fsdf,dsd,dsqdqs
dfff,dfdf,s.salem@univ-boumerdes.dz,+213791517930,SDSDS,fsdf,dsd,dsqdqs
dfff,dfdf,s.salem@univ-boumerdes.dz,+213791618374,SDSDS,fsdf,dsd,dsqdqsss
azez,sdqsd,saiftony5@gmail.com,+213791516378,QQSSsqd,sqdqsd,sqdqsd,sdqsdsqd
azez,sdqsd,saiftony5@gmail.com,+213791517381,QQSSsqd,sqdqsd,sqdqsd,sdqsdsqdSD
sdsqdd,sdsdsf,saiftony5@gmail.com,+213791634785,sdsfsdfdfsd,dfsgdfcwxdfsd,DFSDFdfsd,dfsdfddfdf
sdsdfdgqdsf,sdqsddfsdfdfsd,saiftony5@gmail.com,+213791917930,sdqsdsqddfsddfsd,dsqddcsdfdf,sdqsddfsddfsf,sdqsdqsdfdsfsddfsdf
salems,dfdsf,saiftony5@gmail.com,+213791513748,sdqds,sdqs,sqdqs,sdqsds
sdqs,dsqdqs,saiftony5@gmail.com,+213791516384,sqdsdd,dssf,dfsf,dfsdfsqdqSDQsdsqs
